id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
254590,Myanmar,MMR,16.50658,95.651176,"[16.50658, 95.651176]",Triangulation,Disaster,total,686,8/18/2026,8/18/2026,8/18/2026,2026,43326,Myanmar: Flood - Ayeyarwady Region (4 Townships) - 30/07/2026,AHA-FL-2026-000826-MMR,Government Assigned Identifier,7/30/2026,8/1/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Kyaiklat, Pyapon, Ayeyarwady, Myanmar","16.50658, 95.651176",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-19T09:59:39.011227Z,"Myanmar: 686 displacements (evacuated), 18 August - 18 August. According to Myanmar Fire Services Department (MFSD), 686 people were evacuated in Kyaiklat due to flooding on August 18, 2026. Myanmar Fire Services Department (MFSD) - 19 August 2026",,Flood
254596,Myanmar,MMR,17.05761,95.187737,"[17.05761, 95.187737]",Recommended figure,Disaster,total,85,8/16/2026,8/16/2026,8/16/2026,2026,43351,Myanmar: Flood - Ayeyarwady Region (Kyaunggon) - 16/08/2026,,,8/16/2026,8/16/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Kyaunggon, Pathein, Ayeyarwady, Myanmar","17.05761, 95.187737",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-19T10:34:42.063581Z,"Myanmar: 85 displacements (evacuated), 16 August - 16 August. According to Myanmar Fire Services Department (MFSD), 85 people were evacuated in Kyaunggon due to flooding on August 16, 2026. Myanmar Fire Services Department (MFSD) - 17 August 2026",,Flood
254594,Myanmar,MMR,18.561331,95.171738,"[18.561331, 95.171738]",Recommended figure,Disaster,total,354,8/14/2026,8/14/2026,8/14/2026,2026,43350,Myanmar: Flood - Bago Region (Shwedaung) - 14/08/2026,,,8/14/2026,8/14/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Shwedaung Township, Pyay District, West Bago Region, Bago Region, Myanmar","18.561331, 95.171738",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-19T10:18:09.723462Z,"Myanmar: 354 displacements (evacuated), 14 August - 14 August. According to Myanmar Fire Services Department (MFSD), 354 people were evacuated in Shwedaung Township due to flooding on August 14, 2026. Myanmar Fire Services Department (MFSD) - 15 August 2026",,Flood
254592,Myanmar,MMR,20.732861,94.872322,"[20.732861, 94.872322]",Recommended figure,Disaster,total,176,8/13/2026,8/13/2026,8/13/2026,2026,43349,Myanmar: Flood - Magway Region (Chauk) - 13/08/2026,,,8/13/2026,8/13/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Chauk Township, Magway District, Magway, Myanmar","20.732861, 94.872322",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-19T10:11:32.990822Z,"Myanmar: 176 displacements (evacuated), 13 August - 13 August. According to Myanmar Fire Services Department (MFSD), 176 people were evacuated in Chauk Township due to flooding on August 13, 2026. Myanmar Fire Services Department (MFSD) - 14 August 2026",,Flood
254555,Myanmar,MMR,20.09605,94.733414,"[20.09605, 94.733414]",Recommended figure,Disaster,total,662,8/12/2026,8/12/2026,8/12/2026,2026,43336,Myanmar: Flood - Magway Region (Minbu) - 12/08/2026,,,8/12/2026,8/12/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Minbu Township, Minbu District, Magway, Myanmar","20.09605, 94.733414",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-18T08:03:11.513432Z,"Myanmar: 662 displacements (evacuated), 12 August - 12 August. According to Myanmar Fire Services Department (MFSD), 662 people were evacuated in Minbu Township due to flooding on August 12, 2026. Myanmar Fire Services Department (MFSD) - 13 August 2026",,Flood
254550,Myanmar,MMR,21.08604,95.01976,"[21.08604, 95.01976]",Recommended figure,Disaster,more than or equal to,8,8/11/2026,8/11/2026,8/11/2026,2026,43335,Myanmar: Flood - Mandalay Region (Nyaung-U) - 11/08/2026,,,8/11/2026,8/11/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Nyaung-U Township, Nyaung-U District, Mandalay, Myanmar","21.08604, 95.01976",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-18T07:54:51.060134Z,"Myanmar: 8 displacements (evacuated), 11 August - 11 August. According to Myanmar Fire Services Department (MFSD), at least two households were evacuated in Nyaung-U Township due to flooding on August 11, 2026. Myanmar Fire Services Department (MFSD) - 12 August 2026",,Flood
254582,Myanmar,MMR,16.890261,97.636269,"[16.890261, 97.636269]",Recommended figure,Disaster,total,2449,8/11/2026,8/11/2026,8/11/2026,2026,43343,Myanmar: Flood - Kayin State (Hpa-An) - 11/08/2026,AHA-FL-2026-000829-MMR,Government Assigned Identifier,8/11/2026,8/11/2026,Weather related,Hydrological,Flood,Flood,,ADINet,,"Hpa-An, Hpa-An District, Kayin, Myanmar","16.890261, 97.636269",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-19T09:11:44.021493Z,"Myanmar: 2,449 displacements, 11 August - 11 August. According to ADINet, 2,449 people were displaced in Hpa-An due to flooding on August 11, 2026. ADINet - 14 August 2026",,Flood
254548,Myanmar,MMR,22.79261,94.43174,"[22.79261, 94.43174]",Recommended figure,Disaster,total,107,8/9/2026,8/9/2026,8/9/2026,2026,43334,Myanmar: Flood - Sagaing Region (Mingin) - 09/08/2026,,,8/9/2026,8/9/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Mingin Township, Kale District, Sagaing, Myanmar","22.79261, 94.43174",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-18T07:50:06.450171Z,"Myanmar: 107 displacements (evacuated), 09 August - 09 August. According to Myanmar Fire Services Department (MFSD), 107 people were evacuated in Mingin Township due to flooding on August 9, 2026. Myanmar Fire Services Department (MFSD) - 10 August 2026",,Flood
254546,Myanmar,MMR,22.857321,95.030067,"[22.857321, 95.030067]",Recommended figure,Disaster,total,269,8/6/2026,8/6/2026,8/6/2026,2026,43333,Myanmar: Flood - Sagaing Region (Ye-U) - 07/08/2026,,,8/6/2026,8/6/2026,Weather related,Hydrological,Flood,Flood,,Myanmar Fire Services Department (MFSD),,"Ye-U Township, Kanbalu District, Sagaing, Myanmar","22.857321, 95.030067",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2026-08-18T07:44:43.024209Z,"Myanmar: 269 displacements (evacuated), 06 August - 06 August. According to Myanmar Fire Services Department (MFSD), 269 people were evacuated in Ye-U Township due to flooding on August 6, 2026. Myanmar Fire Services Department (MFSD) - 07 August 2026",,Flood
254652,Myanmar,MMR,22.820789,98.005898,"[22.820789, 98.005898]",Recommended figure,Conflict,total,300,8/10/2026,8/3/2026,8/10/2026,2026,37917,Myanmar: Non-International armed conflict (NIAC) - Shan State (North & South) - 2026,,,1/1/2026,12/31/2026,,,Non-International armed conflict (NIAC),Non-International armed conflict (NIAC),,UNHCR Myanmar,,"North Shan State, Shan State, Myanmar","22.820789, 98.005898",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2026-08-19T11:53:12.834999Z,"Myanmar: 300 displacements, 03 August - 10 August. According to UNHCR Myanmar, 300 people were displaced in North Shan State due to non-international armed conflict between the 3rd and 10th of August 2026. UNHCR Myanmar - 10 August 2026",,Non-International armed conflict (NIAC)
